Channel,Timestamp,X,Y,Z
0,110317939,-0.011,-0.012,1.219
0,110320266,0.01,0.01,1.221
0,110322592,-0.012,0.006,1.225
0,110324919,0.006,0.006,1.276
0,110327246,-0.037,0.021,1.285
0,110329573,-0.01,0.036,0.831
0,110331900,-0.025,0.052,0.725
0,110334226,-0.024,0.075,0.62
0,110336553,-0.032,0.032,0.842
0,110338880,-0.029,0.048,0.916
0,110341206,-0.025,0.027,1.116
0,110343532,0.002,0.017,1.013
0,110345858,0.009,0.008,1.105
0,110348185,0.032,-0.014,1.115
0,110350511,0.019,-0.022,1.284
0,110352838,0.038,-0.028,1.266
0,110355164,0.026,-0.023,1.16
0,110357491,0.036,-0.018,0.973
0,110359817,0.027,-0.02,0.85
2,110294530,-0.111,-0.081,2.374
2,110296854,0.036,-0.027,0.994
2,110299179,0.062,-0.006,0.476
2,110301503,0.01,-0.028,0.845
2,110303827,-0.001,-0.033,0.752
2,110306151,0.025,-0.028,0.501
2,110308475,-0.007,-0.006,1.052
2,110310800,-0.012,-0.048,1.144
2,110313124,0.007,-0.026,1.267
2,110315448,0.002,-0.04,1.114
2,110317773,-0.015,-0.031,1.214
2,110320097,0.002,-0.003,1.259
2,110322421,-0.02,-0.014,1.264
2,110324746,-0.002,-0.006,1.309
2,110327070,-0.048,-0.007,1.339
2,110329394,-0.026,0.017,0.885
2,110331719,-0.042,0.025,0.789
2,110334044,-0.046,0.044,0.658
2,110336368,-0.042,0.007,0.855
2,110338692,-0.044,0.023,0.942
2,110341017,-0.036,0.001,1.116
2,110343342,-0.008,-0.002,1.054
2,110345666,0,-0.008,1.138
2,110347991,0.027,-0.021,1.157
2,110350316,0.02,-0.035,1.293
2,110352641,0.037,-0.036,1.309
2,110354966,0.024,-0.036,1.207
2,110357290,0.03,-0.027,1.029
2,110359615,0.029,-0.032,0.898
2,110361940,0.027,-0.019,0.805
0,110362143,0.026,-0.009,0.77
0,110364468,0.014,-0.02,0.88
0,110366794,0.01,-0.011,0.893
0,110369120,0.016,-0.027,0.958
0,110371447,0.022,-0.022,0.892
0,110373773,0.027,-0.034,0.97
0,110376100,0.033,-0.038,1.067
0,110378426,0.029,-0.034,1.159
0,110380753,0.038,-0.037,1.19
0,110383079,0.034,-0.028,1.128
0,110385406,0.039,-0.024,1.063
0,110387732,0.034,-0.01,0.958
0,110390059,0.023,-0.002,0.967
0,110392386,0.023,0.004,0.943
0,110394713,0.007,0.014,0.94
0,110397039,0.011,0.017,0.9
0,110399366,0,0.023,0.922
0,110401693,0.004,0.022,0.934
0,110404019,0,0.022,1.019
